Tweet Text,Lemmatized Tweet Text,Subjectivity,Polarity
passenger plane people board crashed local media report,passenger plane people board crash local medium report,0.0,0.0
jailed stirring racial hatred facebook recent disorder,jail stir racial hatred facebook recent disorder,0.125,-0.05
councillor charged encouraging violent disorder counter protest,councillor charge encouraging violent disorder counter protest,1.0,-0.8
named interim head coach men 's football team fa says reaction,name interim head coach men 's football team fa say reaction,0.0,0.0
men sentenced connection riots,men sentence connection riot,0.0,0.0
wins gold team ! effort bbcolympics olympics paris2024,win gold team ! effort bbcolympics olympics paris2024,0.4,1.0
former news presenter asked return salary paid since arrest undermined trust says board,former news presenter ask return salary pay since arrest undermine trust say board,0.0,-0.025
's wins m commanding sprint claiming country 's ever gold,'s win m command sprint claim country 's ever gold,0.4,0.8
sailor wins gold medal olympics victory women 's kite,sailor win gold medal olympics victory woman 's kite,0.4,0.8
councillor arrested suspicion encouraging murder comments counter protest,councillor arrest suspicion encourage murder comment counter protest,0.0,-0.05
rioters jailed violent disorder,rioter jail violent disorder,0.5,-0.45
men sentenced violent disorder unrest attack,men sentence violent disorder unrest attack,1.0,-0.8
concerts cancelled police arrest men suspected planning attacks,concert cancel police arrest men suspect planning attack,0.0,-0.05
president accuses major provocation clashes reported 's border region,president accuse major provocation clash report 's border region,0.5,0.0625
men jailed violent disorder following southport attack,men jail violent disorder follow southport attack,0.5,-0.45
new running mate make campaign appearance together,new run mate make campaign appearance together,0.45454545454545453,0.13636363636363635
's wins women 's boxing semi final fight gold gender eligibility row,'s win woman 's box semi final fight gold gender eligibility row,0.7,0.4
prime minister sir promises communities safe emergency meeting riots,prime minister sir promise community safe emergency meeting riot,0.5,0.5
's wins shock m gold ahead 's .,'s win shock m gold ahead 's .,0.4,0.8
wins skateboarding bronze despite dislocating shoulder going olympics,win skateboard bronze despite dislocate shoulder go olympics,0.4,0.8
says 's honour lifetime running mate team brands governor dangerously liberal,say 's honour lifetime run mate team brand governor dangerously liberal,0.9,-0.6
children hospital stabbing attack discharged,child hospital stab attack discharge,0.0,0.0
picks governor former high school teacher running mate election media report,pick governor former high school teacher run mate election medium report,0.27,0.08
man 28 becomes person charged stirring racial hatred online relation current violent disorder,man 28 become person charge stir racial hatred online relation current violent disorder,0.7,-0.4
eluned says potential limitless women confirmed female minister nation,eluned say potential limitless woman confirm female minister nation,0.5833333333333334,0.0
police investigate serious assault man racially motivated hate crime riot,police investigate serious assault man racially motivated hate crime riot,0.7833333333333333,-0.5666666666666667
keely wins m gold medal athletics,keely win m gold medal athletics,0.4,0.8
acted illegally maintain monopoly online searches judge rules landmark case,act illegally maintain monopoly online search judge rule landmark case,0.5,-0.5
team break world record take cycling gold women 's team sprint olympics,team break world record take cycling gold woman 's team sprint olympics,0.0,0.0
markets tumble amid global sell fears grow economic slowdown world 's largest economy,market tumble amid global sell fear grow economic slowdown world 's large economy,0.20952380952380953,0.13809523809523808
prime minister sir says army specialist police officers standby tackle violent disorder,prime minister sir say army specialist police officer standby tackle violent disorder,1.0,-0.8
resigns flees country anti government protesters storm official residence capital,resigns flees country anti government protester storm official residence capital,0.0,0.0
former surrey cricketer died,former surrey cricketer die,0.0,0.0
regret taking part says pm describes far right thuggery streets,regret take part say pm describes far right thuggery street,0.7678571428571428,0.19285714285714284
crowd chanting get gathers hotel bottles thrown police windows broken,crowd chant get gather hotel bottle thrown police window break,0.0,0.0
mayhem protests several cities made people frightened colour skin says policing minister,mayhem protest several city make people frighten colour skin say policing minister,0.0,0.0
's secretary says thuggery place 's streets disorder protests several cities,'s secretary say thuggery place 's street disorder protest several city,0.0,0.0
formally chosen nominee presidential election,formally choose nominee presidential election,0.0,0.0
'just tar feather ' black ex solider poster girl recruitment campaigns gets apology racist abuse,'just tar feather ' black ex solider poster girl recruitment campaign get apology racist abuse,0.43333333333333335,-0.16666666666666666
violent protests southport attack reveal organising tactics far right analysis shows,violent protest southport attack reveal organise tactic far right analysis show,0.8452380952380952,-0.13809523809523813
emily grant win olympic gold women 's lightweight double sculls final,emily grant win olympic gold woman 's lightweight double scull final,0.4666666666666666,0.26666666666666666
knocked men 's doubles tennis playing career comes end,knock men 's double tennis play career come end,0.0,0.0
gymnastics superstar wins gold around final olympics,gymnastics superstar win gold around final olympics,0.7,0.4
boss defends sacking despite knowing arrest serious category indecent images children,bos defend sack despite know arrest serious category indecent image child,0.3333333333333333,-0.19166666666666665
says reporter free west carry huge prisoner exchange,say reporter free west carry huge prisoner exchange,0.8500000000000001,0.4
biggest prisoner exchange since way updates,big prisoner exchange since way update,0.1,0.0
journalist former marine among prisoners expected freed swap deal,journalist former marine among prisoner expect freed swap deal,0.0,0.0
southport triple murder suspect named time updates,southport triple murder suspect name time update,0.0,0.0
interest rates cut 5.2 bank england drop since onset pandemic,interest rate cut 5.2 bank england drop since onset pandemic,0.0,0.0
children injured stabbing discharged others stable condition hospital says,child injure stab discharge others stable condition hospital say,0.0,0.0
gps vote favour 'work rule ' action could limit number appointments available,gps vote favour 'work rule ' action could limit number appointment available,0.25,0.25
suspect appears court charged murders girls,suspect appear court charge murder girl,0.0,0.0
's military says killed military chief air strike,'s military say kill military chief air strike,0.1,-0.1
charged counts murder counts attempted murder knife attack,charge count murder count attempt murder knife attack,0.0,0.0
people arrested demonstration central knife attack 's met police say,people arrest demonstration central knife attack 's met police say,0.125,-0.025
others accused plotting attacks reach plea deal prosecutors says,others accuse plot attack reach plea deal prosecutor say,0.0,0.0
says shocked admits making indecent images children knew arrest,say shocked admits make indecent image child know arrest,0.4,-0.375
team win rowing gold medal women 's quadruple sculls,team win row gold medal woman 's quadruple scull,0.4,0.8
wins gold medal men 's triathlon reaction,win gold medal men 's triathlon reaction,0.4,0.8
former presenter pleads guilty making indecent images children,former presenter pleads guilty make indecent image child,0.5,-0.25
leader killed am attack building staying 's state media says follow latest,leader kill be attack building stay 's state medium say follow late,0.6,-0.3
explosion hits suburb says carries strike,explosion hit suburb say carry strike,0.0,0.0
named girls killed dance class attack,name girl kill dance class attack,0.0,0.0
radical preacher jailed life directing banned group,radical preacher jail life directing ban group,0.0,-0.1
girl becomes child die stabbings police say,girl become child die stabbings police say,0.0,0.0
arrest warrant issued failed attend court hearing,arrest warrant issue failed attend court hearing,0.15,-0.275
little kids dance class says completely shock stabbings,little kid dance class say completely shock stabbings,0.45,-0.04375
police extremely concerned girl goes missing,police extremely concerned girl go miss,1.0,-0.125
girl went missing found safe well say police,girl go miss found safe well say police,0.5,0.5
children killed others injured critical condition stabbing,child kill others injured critical condition stab,0.8,0.0
male arrested stabbings southport incident currently treated terror related police say,male arrest stabbings southport incident currently treat terror related police say,0.225,-0.0125
former presenter charged counts making indecent images children police say,former presenter charge count make indecent image child police say,0.0,0.0
number casualties reported armed police detain man seize knife major incident,number casualty report armed police detain man seize knife major incident,0.5,0.0625
patients stab injuries taken hospitals including ambulance service says,patient stab injury take hospital include ambulance service say,0.0,0.0
number casualties reported armed police detain man seize knife major incident,number casualty report armed police detain man seize knife major incident,0.5,0.0625
team claims gold medal olympics equestrian team eventing watch reaction live,team claim gold medal olympics equestrian team eventing watch reaction live,0.5,0.13636363636363635
junior doctors expected offered pay rise strikes,junior doctor expect offered pay rise strike,0.0,0.0
team divers take silver m synchro final reaction,team diver take silver m synchro final reaction,1.0,0.0
funerals held children killed strike fears rise war,funeral hold child kill strike fear rise war,0.0,0.0
media report least dead injured rocket strike children ’ football pitch occupied,medium report least dead injured rocket strike child ’ football pitch occupy,0.4,-0.25
performs paris olympics opening ceremony part way eiffel tower,performs paris olympics open ceremony part way eiffel tower,0.5,0.0
olympians sail city officially open,olympian sail city officially open,0.5,0.0
alternative healer found guilty manslaughter death woman slapping therapy workshops,alternative healer find guilty manslaughter death woman slap therapy workshop,1.0,-0.5
police officer criminal investigation force used incident watchdog says,police officer criminal investigation force use incident watchdog say,0.55,-0.4
's high speed rail network disrupted malicious acts including arsons,'s high speed rail network disrupt malicious act include arson,0.54,0.16
–mulhouse–freiburg temporary grounded flights due safety reasons,–mulhouse–freiburg temporary ground flight due safety reason,0.375,-0.125
says trains cancelled arson attacks rail network,say train cancel arson attack rail network,0.0,0.0
child rapist brother cliff silence jailed life,child rapist brother cliff silence jail life,0.0,-0.1
endorses harris president saying strength critical moment demands,endorses harris president say strength critical moment demand,0.8,0.0
police officer suspended video shows officer kicking man head,police officer suspend video show officer kick man head,0.0,0.0
oil tanker cargo ship capsize hits region,oil tanker cargo ship capsize hit region,0.0,0.0
man charged attempted murder army officer stabbed near barracks,man charge attempted murder army officer stab near barrack,0.4,0.1
president says ended election bid “ unite party ” “ defence democracy ”,president say end election bid “ unite party ” “ defence democracy ”,0.0,0.0
president explain ended election bid rare televised address,president explain end election bid rare televise address,0.9,0.3
's useful idiots ’ criticises protesters outside police arrest inside chamber,'s useful idiot ’ criticise protester outside police arrest inside chamber,0.21250000000000002,-0.1375
prime minister addresses congress protest outside,prime minister address congress protest outside,0.05,0.0
police say assessing footage appearing show officer kicking stamping head man ground,police say assess footage appear show officer kick stamp head man ground,0.0,0.0
eluned morgan becomes female leader set ’ next minister,eluned morgan becomes female leader set ’ next minister,0.08333333333333333,0.0
man arrested suspicion causing death dangerous driving crash people died including children,man arrest suspicion cause death dangerous drive crash people die include child,0.45,-0.325
stabbing soldier condemned shocking appalling home secretary,stab soldier condemn shock appal home secretary,0.0,0.0
former foreign secretary home secretary confirms running become next leader,former foreign secretary home secretary confirms run become next leader,0.041666666666666664,-0.041666666666666664
top proudly endorse run president,top proudly endorse run president,0.75,0.65
secret service boss resign admitting failures lead shooting,secret service bos resign admit failure lead shoot,0.5,-0.35833333333333334
team dressage star withdraws olympics video showing “ error judgement ” coaching session,team dressage star withdraws olympics video show “ error judgement ” coaching session,0.0,0.0
motorbike rider passenger killed crash also claimed lives others named married couple,motorbike rider passenger kill crash also claim live others name married couple,0.375,0.19318181818181818
police officer stabbed chest conscious talking hospital say,police officer stab chest conscious talk hospital say,0.5,0.1
radical preacher found guilty terror laws directing banned group,radical preacher find guilty terror law direct ban group,0.7,-0.2
boss says sorry complaints abusive behaviour confirms show continue,bos say sorry complaint abusive behaviour confirm show continue,0.6,-0.4
says retire tennis competing,say retire tennis compete,0.0,0.0
secures support enough delegates put track formally become party 's nominee president,secures support enough delegate put track formally become party 's nominee president,0.5,0.0
praises president legacy accomplishment remarks since left presidential race endorsed,praise president legacy accomplishment remark since leave presidential race endorse,0.0,0.0
vice president set make public remarks since quit presidential race,vice president set make public remark since quit presidential race,0.06666666666666667,0.0
woman died attacked pet dog coventry police say,woman die attacked pet dog coventry police say,0.0,0.0
